customer_id,name,city,state,email,age,joined_date,phone
1,Sneha Verma,Aurangabad,Maharashtra,sneha.verma755@yahoo.com,35,2020-07-28,9685582861
2,Ananya Chawla,Chandigarh,Punjab,,20,2021-04-21,9128492780
3,Vijay Sethi,Varanasi,Uttar Pradesh,vijay.sethi829@outlook.com,32,2024-11-15,
4,Rahul Banerjee,Jodhpur,Rajasthan,rahul.banerjee782@yahoo.com,35,2021-11-20,9507943839
5,Pooja Siddiqui,Udaipur,Rajasthan,pooja.siddiqui748@hotmail.com,56,2022-07-29,9506448196
6,Priya Bhatia,Vadodara,Gujarat,priya.bhatia371@rediffmail.com,58,2023-03-28,9174684276
7,Sai Yadav,Vadodara,Gujarat,sai.yadav390@yahoo.com,23,2021-07-23,9995619255
8,Tushar Agarwal,Lucknow,Uttar Pradesh,tushar.agarwal719@yahoo.com,40,2023-10-31,9754049436
9,Rohit Sethi,Jabalpur,Madhya Pradesh,rohit.sethi277@yahoo.com,33,2023-08-03,9335809993
10,Karan Singh,Kolkata,West Bengal,karan.singh68@hotmail.com,20,2021-03-08,9709004943
11,Akash Pandey,Vijayawada,Andhra Pradesh,akash.pandey659@outlook.com,49,2022-07-28,9249926919
12,Geeta Bhatia,Bhubaneswar,Odisha,geeta.bhatia598@rediffmail.com,34,2022-03-28,9248532577
13,Dinesh Jain,New Delhi,Delhi,dinesh.jain164@gmail.com,21,2024-06-10,9740389325
14,Krishna Das,Kanpur,Uttar Pradesh,krishna.das995@outlook.com,56,2023-02-07,9112327652
15,Sneha Sethi,Solapur,Maharashtra,sneha.sethi446@hotmail.com,35,2020-11-19,9875340444
16,Seema Kapoor,Solapur,Maharashtra,seema.kapoor892@rediffmail.com,29,2023-07-04,9786066793
17,Vinod Bajaj,Hyderabad,Telangana,vinod.bajaj553@hotmail.com,27,2024-05-13,9100614068
18,Karan Jain,Pune,Maharashtra,karan.jain852@hotmail.com,25,2024-07-10,9162196678
19,Sunita Arora,New Delhi,Delhi,sunita.arora779@outlook.com,23,2022-12-26,9237859287
20,Rajan Bhatia,Coimbatore,Tamil Nadu,rajan.bhatia434@rediffmail.com,34,2021-03-09,9910959828
21,Vijay Pillai,Agra,Uttar Pradesh,vijay.pillai530@hotmail.com,60,2022-07-13,9341266931
22,Krishna Ansari,Pune,Maharashtra,krishna.ansari226@rediffmail.com,55,2020-01-15,9777641645
23,Ayaan Yadav,Delhi,Delhi,,20,2021-05-02,9621209849
24,Manoj Sethi,Hubli,Karnataka,manoj.sethi249@rediffmail.com,64,2024-05-25,9537077308
25,Rajesh Patel,Bangalore,Karnataka,rajesh.patel421@outlook.com,60,2022-08-14,9158165865
26,Pooja Singh,Agra,Uttar Pradesh,pooja.singh112@hotmail.com,64,2021-05-24,9675832441
27,Simran Mehta,Chandigarh,Punjab,simran.mehta896@hotmail.com,29,2020-06-03,9690907304
28,Pooja Singh,Vijayawada,Andhra Pradesh,pooja.singh949@gmail.com,52,2024-03-23,9278575192
29,Shruti Jain,Bhopal,Madhya Pradesh,shruti.jain169@outlook.com,31,2022-02-15,
30,Sachin Nair,Amritsar,Punjab,sachin.nair749@outlook.com,36,2024-05-23,9871385010
