employee_id,name,department_id,salary,manager_id,hire_date
1,Tanvi Joshi,1,110142.5,,2018-04-03
2,Rakesh Iyer,2,102484.8,,2018-02-10
3,Karan Iyer,3,101454.71,,2018-11-05
4,Tanvi Agarwal,4,128283.54,,2018-06-29
5,Simran Gupta,5,130877.01,,2018-06-30
6,Nisha Menon,6,124762.85,,2018-01-30
7,Ishaan Roy,3,50654.3,3,2023-03-16
8,Rahul Verma,2,67433.47,2,2022-10-20
9,Ritika Gupta,2,28361.67,2,2023-05-14
10,Tushar Bose,4,72473.36,4,2019-03-08
11,Divya Mukherjee,3,43600.67,3,2023-04-12
12,Ishaan Arora,2,51472.99,2,2021-03-26
13,Akash Menon,2,73026.0,2,2019-02-23
14,Suresh Jain,5,44349.37,5,2022-02-24
15,Anjali Nair,3,60201.89,3,2020-03-15
16,Radha Jain,2,31131.87,2,2023-10-13
17,Ishaan Mukherjee,2,69933.95,2,2021-06-30
18,Ananya Khan,6,42371.26,6,2019-05-13
19,Rakesh Iyer,3,67568.1,3,2022-12-28
20,Amit Bose,5,36212.08,5,2020-02-16
21,Riya Reddy,4,26314.2,4,2022-02-08
22,Gaurav Ghosh,5,31488.56,5,2023-12-16
23,Ananya Kumar,3,44908.0,3,2023-01-08
24,Mohan Malhotra,4,63458.23,4,2023-08-14
25,Ishaan Mehta,3,57116.93,3,2021-07-10
26,Preeti Malhotra,3,31416.73,3,2023-08-25
27,Suresh Mehta,4,50143.19,4,2023-11-14
28,Ayaan Shah,5,32650.77,5,2019-12-04
29,Rahul Khan,6,36273.51,6,2021-11-28
30,Radha Joshi,3,34815.1,3,2022-02-02
31,Shobha Mehta,6,40141.23,6,2021-12-28
32,Ananya Kapoor,6,33431.8,6,2022-04-04
33,Divya Agarwal,6,56223.96,6,2022-05-24
34,Harsh Arora,1,66261.81,1,2019-02-28
35,Priya Gupta,6,63551.12,6,2020-06-26
36,Deepak Arora,4,55905.42,4,2019-03-04
37,Arun Sethi,3,57095.36,3,2020-09-10
38,Mohan Reddy,6,45304.63,6,2021-07-17
39,Ishaan Singh,2,46980.27,2,2021-09-18
40,Preeti Pandey,3,55333.01,3,2020-10-02
41,Akash Siddiqui,4,31538.31,4,2021-01-28
42,Dinesh Bhatia,1,40955.79,1,2021-08-13
43,Anjali Menon,4,37395.94,4,2019-07-18
44,Reyansh Iyer,4,68208.19,4,2021-05-06
45,Geeta Agarwal,3,71687.58,3,2023-01-16
46,Akash Mishra,2,49913.28,2,2021-11-20
47,Preeti Jain,3,49868.51,3,2019-07-04
48,Swati Kapoor,4,73334.33,4,2020-03-16
49,Shubham Singh,1,39067.82,1,2022-05-08
50,Rajan Iyer,5,25408.87,5,2019-08-09
